fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,quality_binary,quality_label
7.40,0.70,0.00,1.90,0.0760,11.00,34.00,0.9978,3.51,0.56,9.40,5,0,0
7.80,0.88,0.00,2.60,0.0980,25.00,67.00,0.9968,3.20,0.68,9.80,5,0,0
7.80,0.76,0.04,2.30,0.0920,15.00,54.00,0.9970,3.26,0.65,9.80,5,0,0
11.20,0.28,0.56,1.90,0.0750,17.00,60.00,0.9980,3.16,0.58,9.80,6,1,1
7.40,0.70,0.00,1.90,0.0760,11.00,34.00,0.9978,3.51,0.56,9.40,5,0,0
7.40,0.66,0.00,1.80,0.0750,13.00,40.00,0.9978,3.51,0.56,9.40,5,0,0
7.90,0.60,0.06,1.60,0.0690,15.00,59.00,0.9964,3.30,0.46,9.40,5,0,0
7.30,0.65,0.00,1.20,0.0650,15.00,21.00,0.9946,3.39,0.47,10.00,7,1,1
7.80,0.58,0.02,2.00,0.0730,9.00,18.00,0.9968,3.36,0.57,9.50,7,1,1
7.50,0.50,0.36,6.10,0.0710,17.00,102.00,0.9978,3.35,0.80,10.50,5,0,0
6.70,0.58,0.08,1.80,0.0970,15.00,65.00,0.9959,3.28,0.54,9.20,5,0,0
7.50,0.50,0.36,6.10,0.0710,17.00,102.00,0.9978,3.35,0.80,10.50,5,0,0
5.60,0.62,0.00,1.60,0.0890,16.00,59.00,0.9943,3.58,0.52,9.90,5,0,0
7.80,0.61,0.29,1.60,0.1140,9.00,29.00,0.9974,3.26,1.56,9.10,5,0,0
8.90,0.62,0.18,3.80,0.1760,52.00,145.00,0.9986,3.16,0.88,9.20,5,0,0
8.90,0.62,0.19,3.90,0.1700,51.00,148.00,0.9986,3.17,0.93,9.20,5,0,0
8.50,0.28,0.56,1.80,0.0920,35.00,103.00,0.9969,3.30,0.75,10.50,7,1,1
8.10,0.56,0.28,1.70,0.3680,16.00,56.00,0.9968,3.11,1.28,9.30,5,0,0
7.40,0.59,0.08,4.40,0.0860,6.00,29.00,0.9974,3.38,0.50,9.00,4,0,0
7.90,0.32,0.51,1.80,0.3410,17.00,56.00,0.9969,3.04,1.08,9.20,6,1,1
8.90,0.22,0.48,1.80,0.0770,29.00,60.00,0.9968,3.39,0.53,9.40,6,1,1
7.60,0.39,0.31,2.30,0.0820,23.00,71.00,0.9982,3.52,0.65,9.70,5,0,0
7.90,0.43,0.21,1.60,0.1060,10.00,37.00,0.9966,3.17,0.91,9.50,5,0,0
8.50,0.49,0.11,2.30,0.0840,9.00,67.00,0.9968,3.17,0.53,9.40,5,0,0
6.90,0.40,0.14,2.40,0.0850,21.00,40.00,0.9968,3.43,0.63,9.70,6,1,1
6.30,0.39,0.16,1.40,0.0800,11.00,23.00,0.9955,3.34,0.56,9.30,5,0,0
7.60,0.41,0.24,1.80,0.0800,4.00,11.00,0.9962,3.28,0.59,9.50,5,0,0
7.90,0.43,0.21,1.60,0.1060,10.00,37.00,0.9966,3.17,0.91,9.50,5,0,0
7.10,0.71,0.00,1.90,0.0800,14.00,35.00,0.9972,3.47,0.55,9.40,5,0,0
7.80,0.65,0.00,2.00,0.0820,8.00,16.00,0.9964,3.38,0.59,9.80,6,1,1
6.70,0.68,0.07,2.40,0.0890,17.00,82.00,0.9958,3.35,0.54,10.10,5,0,0
6.90,0.69,0.00,2.50,0.1050,22.00,37.00,0.9966,3.46,0.57,10.60,6,1,1
8.30,0.66,0.12,2.30,0.0830,15.00,113.00,0.9966,3.17,0.66,9.80,5,0,0
6.90,0.61,0.12,10.70,0.0730,40.00,83.00,0.9993,3.45,0.52,9.40,6,1,1
5.20,0.32,0.25,1.80,0.1030,13.00,50.00,0.9957,3.38,0.55,9.20,5,0,0
7.80,0.65,0.00,5.50,0.0860,5.00,18.00,0.9986,3.40,0.55,9.60,6,1,1
7.80,0.60,0.14,2.40,0.0860,3.00,15.00,0.9975,3.42,0.60,10.80,6,1,1
8.10,0.38,0.28,2.10,0.0660,13.00,30.00,0.9968,3.23,0.73,9.70,7,1,1
5.70,1.13,0.09,1.50,0.1720,7.00,19.00,0.994,3.50,0.48,9.80,4,0,0
7.30,0.45,0.36,5.90,0.0740,12.00,87.00,0.9978,3.33,0.83,10.50,5,0,0
7.30,0.45,0.36,5.90,0.0740,12.00,87.00,0.9978,3.33,0.83,10.50,5,0,0
8.80,0.61,0.30,2.80,0.0880,17.00,46.00,0.9976,3.26,0.51,9.30,4,0,0
7.50,0.49,0.20,2.60,0.3320,8.00,14.00,0.9968,3.21,0.90,10.50,6,1,1
8.10,0.66,0.22,2.20,0.0690,9.00,23.00,0.9968,3.30,1.20,10.30,5,0,0
6.80,0.67,0.02,1.80,0.0500,5.00,11.00,0.9962,3.48,0.52,9.50,5,0,0
4.60,0.52,0.15,2.10,0.0540,8.00,65.00,0.9934,3.90,0.56,13.10,4,0,0
7.70,0.94,0.43,2.20,0.1140,22.00,114.00,0.9970,3.25,0.73,9.20,5,0,0
8.70,0.29,0.52,1.60,0.1130,12.00,37.00,0.9969,3.25,0.58,9.50,5,0,0
6.40,0.40,0.23,1.60,0.0660,5.00,12.00,0.9958,3.34,0.56,9.20,5,0,0
5.60,0.31,0.37,1.40,0.0740,12.00,96.00,0.9954,3.32,0.58,9.20,5,0,0
8.80,0.66,0.26,1.70,0.0740,4.00,23.00,0.9971,3.15,0.74,9.20,5,0,0
6.60,0.52,0.04,2.20,0.0690,8.00,15.00,0.9956,3.40,0.63,9.40,6,1,1
6.60,0.50,0.04,2.10,0.0680,6.00,14.00,0.9955,3.39,0.64,9.40,6,1,1
8.60,0.38,0.36,3.00,0.0810,30.00,119.00,0.9970,3.20,0.56,9.40,5,0,0
7.60,0.51,0.15,2.80,0.1100,33.00,73.00,0.9955,3.17,0.63,10.20,6,1,1
7.70,0.62,0.04,3.80,0.0840,25.00,45.00,0.9978,3.34,0.53,9.50,5,0,0
10.20,0.42,0.57,3.40,0.0700,4.00,10.00,0.9971,3.04,0.63,9.60,5,0,0
7.50,0.63,0.12,5.10,0.1110,50.00,110.00,0.9983,3.26,0.77,9.40,5,0,0
7.80,0.59,0.18,2.30,0.0760,17.00,54.00,0.9975,3.43,0.59,10.00,5,0,0
7.30,0.39,0.31,2.40,0.0740,9.00,46.00,0.9962,3.41,0.54,9.40,6,1,1
8.80,0.40,0.40,2.20,0.0790,19.00,52.00,0.9980,3.44,0.64,9.20,5,0,0
7.70,0.69,0.49,1.80,0.1150,20.00,112.00,0.9968,3.21,0.71,9.30,5,0,0
7.50,0.52,0.16,1.90,0.0850,12.00,35.00,0.9968,3.38,0.62,9.50,7,1,1
7.00,0.74,0.05,2.00,0.0810,13.00,54.00,0.9966,3.39,0.57,9.80,5,0,0
7.20,0.73,0.05,4.65,0.0860,4.00,11.00,0.9962,3.41,0.39,10.90,5,0,0
7.20,0.73,0.05,4.65,0.0860,4.00,11.00,0.9962,3.41,0.39,10.90,5,0,0
7.50,0.52,0.11,1.50,0.0790,11.00,39.00,0.9968,3.42,0.58,9.60,5,0,0
